,Observerd,PREDICTED
0,-1.265403139,15.756974220275879
1,-0.088467713,3.5676581859588623
2,1.088467713,-7.350037097930908
3,2.265403139,0.04015548899769783
4,3.442338564,2.406979560852051
5,5.857293771,3.2416746616363525
6,15.70036766,4.135918140411377
7,26.78146134,6.5490403175354
8,35.68614779,13.486769676208496
9,31.53239087,22.349979400634766
10,25.20222673,30.632856369018555
11,18.79777327,23.59766387939453
12,12.31903049,8.505035400390625
13,6.115747364,3.4069581031799316
14,1.565222145,-0.7907141447067261
15,-2.709843423,4.911169528961182
16,-6.984908991,9.976795196533203
17,-2.1375327840000002,0.5312772989273071
18,11.8322852,2.83699369430542
19,25.80210318,5.983170509338379
20,39.77192116,12.715782165527344
21,53.74173914,34.72425842285156
22,79.78268059,37.738494873046875
23,117.89474550000001,47.15263366699219
24,156.0068104,71.4023208618164
25,194.1188753,113.46131896972656
26,232.23094019999996,163.6458740234375
27,270.3430052,220.2480926513672
28,254.63348939999997,279.60504150390625
29,185.1023931,307.37286376953125
30,115.57129669999999,174.22337341308594
31,46.04020039,57.81414794921875
32,6.959799614,4.519574165344238
33,-1.6699055790000001,-45.09293746948242
34,1.6699055790000001,-52.18925094604492
35,16.97923309,-14.5469970703125
36,32.28856059,19.339006423950195
37,30.90466375,26.41091537475586
38,12.82754257,47.99267578125
39,0.0,35.07723617553711
40,18.66992915,-11.064780235290527
41,36.83740239,0.04446995630860329
42,20.49266846,31.85429573059082
43,-1.604099986,55.458499908447266
44,1.604099986,-2.0949273109436035
45,22.0,-0.18448643386363983
46,0.0,16.88350486755371
47,0.0,29.555208206176758
48,-25.0,15.68781852722168
49,19.0,-0.37076160311698914
50,1.0,14.583829879760742
51,-1.0,25.367740631103516
