"","x"
"1",10.9066080616478
"2",22.6061568920295
"3",-58.8084938575778
"4",6.81929001559092
"5",-55.5068888587701
"6",-49.6038503034147
"7",-11.204427571579
"8",-17.2784513140867
"9",-31.6533339240267
"10",-25.3795834131365
"11",-14.0248304222487
"12",-14.3385354961323
"13",-0.0430781339439177
"14",-17.714361391682
"15",-12.6669183241045
"16",-0.60422327855467
"17",-10.7643967290891
"18",-10.0152445598008
"19",-5.18893506461271
"20",5.58998439572095
"21",4.29416347219606
"22",-0.781732128341822
"23",-6.24977557466412
"24",2.83457409600672
"25",-4.00347860743494
"26",1.11709312991135
"27",2.03439399488909
"28",1.29544141347055
"29",-0.579575514012233
"30",-2.52901256784556
"31",0.618834140181819
"32",1.25840482126067
"33",-0.085178693769376
"34",1.77840899107679
"35",1.41210433028121
"36",-3.18656960073628
"37",-0.00533813862175553
"38",1.11935360005868
"39",-1.68213786550709
"40",-2.83697562022994
"41",-2.29081191964942
"42",-1.79839945029528
"43",-1.5898266670101
"44",1.46568866298759
"45",1.4035746275628
"46",1.9327704150267
"47",1.09239149802207
"48",-0.313312145314459
"49",-1.42261834965699
"50",2.35656258288632
"51",1.25936947349744
"52",1.12311829186116
