"","x"
"1",1.43154822613799
"2",6.34889324827384
"3",25.1032694888374
"4",46.7748973266767
"5",21.3147719685314
"6",24.1679243417801
"7",11.434959687474
"8",9.13809365659249
"9",11.4332491190745
"10",20.6024003594121
"11",7.34633067939702
"12",8.13098212414771
"13",8.7487440381558
"14",16.7484557364033
"15",5.82554982135768
"16",14.4203012483884
"17",9.3117053512855
"18",5.76404229578589
"19",10.7684961958723
"20",6.44485391714424
"21",9.91751398460921
"22",5.5963255153862
"23",6.97369822170163
"24",2.78608870048766
"25",1.3897503524169
"26",2.77811108081084
"27",0.692210125779889
"28",2.76931440652371
"29",1.38248417244543
"30",6.17759849119531
"31",3.42692514647854
"32",1.36399744135266
"33",4.77189018861755
"34",3.37796306100011
"35",4.05323652184138
"36",2.67583212735165
"37",6.62084257206208
"38",7.27306294105068
"39",22.4508043982305
"40",37.5252703471829
"41",38.4255263879687
"42",61.4827680152568
"43",63.4239389603815
"44",46.8959376739009
"45",38.3107677604602
"46",29.1003191581127
"47",27.8894645941546
"48",21.7461317374264
"49",26.5001962066462
"50",11.3956390628624
"51",1.64546884513798
"52",4.20961651110903
