,Observerd,PREDICTED
0,-24.05682707,67.07877349853516
1,1.6477243080000001,40.7452392578125
2,27.35227569,24.481603622436523
3,53.05682707,17.11465072631836
4,78.76137846,24.20843505859375
5,99.31061989,22.108169555664062
6,88.92800165,5.305929660797119
7,73.39007346,97.64898681640625
8,60.56809684,159.2471923828125
9,64.04182970000001,155.74269104003906
10,70.23151413,73.11275482177734
11,84.76848587,38.58281707763672
12,107.6527449,21.667356491088867
13,123.1357804,20.22362518310547
14,94.21147471,25.230093002319336
15,57.88594549,38.89607620239258
16,21.56041628,63.91718292236328
17,8.837235392,83.65682220458984
18,19.71640284,54.657386779785156
19,30.59557028,47.3701057434082
20,41.47473772,49.914608001708984
21,52.35390516,42.595245361328125
22,52.59296891,21.58207893371582
23,42.19192895,13.926484107971191
24,31.79088898,44.9985466003418
25,21.38984902,41.83384704589844
26,10.98880906,33.41542053222656
27,0.587769103,30.654491424560547
28,15.92856306,31.387399673461914
29,57.01119094,28.61668586730957
30,98.09381881,28.80099868774414
31,139.17644669999999,30.670089721679688
32,118.8235533,26.962862014770508
33,37.03513868,36.09906005859375
34,6.964861318,131.14385986328125
35,28.61272122,202.1645050048828
36,50.26058112,96.71027374267578
37,48.82392995,55.334312438964844
38,24.3027677,84.48687744140625
39,4.0,53.335079193115234
40,9.007599554,31.990537643432617
41,16.71128466,13.521583557128906
42,15.28111579,39.83222961425781
43,12.32863793,57.45452880859375
44,5.671362072999999,56.86262512207031
45,1.0,45.181396484375
46,24.0,10.654572486877441
47,19.0,33.623294830322266
48,30.0,45.711788177490234
49,1.0,51.09998321533203
50,3.0,48.34436798095703
51,56.0,15.906888008117676
