"","x"
"1",0.739916996571885
"2",16.166083070062
"3",9.20815580946361
"4",8.84891186858636
"5",18.4459607000408
"6",38.2993299968648
"7",15.8671657289693
"8",33.332580771653
"9",7.85070228673319
"10",4.3493626234773
"11",19.6732486604485
"12",17.8175583274626
"13",11.3407319485658
"14",6.10290232251688
"15",17.6157194776149
"16",7.64857887758271
"17",6.30415499828934
"18",3.78627812755597
"19",12.7267147460488
"20",12.3280284974757
"21",6.75531799815469
"22",7.60365178196264
"23",7.61592344497607
"24",4.18896014369016
"25",3.77617792755877
"26",2.94038000532718
"27",5.87152837155687
"28",10.0593608173031
"29",12.4910844010098
"30",14.1537300479227
"31",18.2690720937388
"32",20.7524814873168
"33",20.5954509804121
"34",27.2711621234123
"35",41.5467579932016
"36",30.492605380614
"37",29.2451912011311
"38",23.2870458459911
"39",19.056740356129
"40",36.9813164918754
"41",32.7279198987375
"42",19.3075819041246
"43",30.8647047746221
"44",21.8005793888976
"45",11.1325773235792
"46",7.10845741076461
"47",5.06146806080027
"48",5.11394134373009
"49",2.00145224272927
"50",0.118972568162615
"51",1.82235805539221
"52",1.64936860108265
