"","x"
"1",-1.38241820220399
"2",1.876925873008
"3",1.42201472059367
"4",5.47078263402427
"5",6.13419977472942
"6",5.94955196744465
"7",7.2687504910296
"8",1.90006620669382
"9",5.41192628617624
"10",4.72905892558553
"11",6.67693756439628
"12",1.99847091009916
"13",3.3454462081499
"14",-0.0145649766386318
"15",3.13148254202393
"16",1.07990242968314
"17",-2.3248588989524
"18",2.12256743503423
"19",2.74600897882841
"20",0.645410449745413
"21",6.82931399435796
"22",2.28611772474296
"23",1.77700653626503
"24",-0.414455067468242
"25",2.41253510782743
"26",0.6728387709777
"27",-0.616167712782869
"28",-0.249023889012216
"29",0.201883853378046
"30",0.569148601929571
"31",-0.00275368343668974
"32",2.93234299904938
"33",4.01789643927389
"34",-0.0299368045644817
"35",0.372048086549928
"36",0.486055003936184
"37",0.352274577072882
"38",0.100339122694602
"39",0.141655837275677
"40",4.20532281522836
"41",0.63764294098645
"42",0.467640828242032
"43",0.695379276266877
"44",0.63935453808788
"45",1.34807796665798
"46",0.648770637461155
"47",0.498580539410695
"48",0.373268228811792
"49",0.251760952280733
"50",0.84005952071137
"51",0.986832851757026
"52",0.523785319871541
