"","x"
"1",4.81039298041687
"2",35.2865538052418
"3",6.3058796408047
"4",55.2612027565278
"5",-10.5117568593151
"6",6.34216808266587
"7",8.82119836570241
"8",1.58969245126101
"9",2.65118897465876
"10",20.2905788187768
"11",9.43106305571004
"12",-2.14268212722896
"13",0.299827317717735
"14",-3.17348821853011
"15",2.40994470430631
"16",-5.10678902024597
"17",-13.5832505216846
"18",-5.37256288580219
"19",-0.0808083664077976
"20",0.0359351942366659
"21",-0.0816122266226667
"22",-2.40126379765776
"23",-0.148103461199939
"24",-1.55083244929788
"25",-0.236986233059099
"26",2.10150084964802
"27",-1.5173453983013
"28",-1.43974697328876
"29",-0.237513846664127
"30",-0.215134732252168
"31",0.534555593492524
"32",2.395287960422
"33",-12.3693483220271
"34",-5.37036933339332
"35",-6.87916464165114
"36",-7.48976433471307
"37",-7.87395780242508
"38",3.12544055800505
"39",3.10742883683497
"40",0.0525388315193438
"41",6.11366552022709
"42",12.476582546967
"43",16.707567886323
"44",9.57429707818298
"45",23.3499371893777
"46",4.64030623237464
"47",4.13849147789537
"48",4.34960174457497
"49",4.01827052839199
"50",2.2367232120014
"51",5.00539620271483
"52",4.67283888382239
