Date,Observed,Naive,Naive-Error,LSTM-NN,LSTM-NN-Error,SARIMA,SARIMA-Error
01/01/2017,0,4,4,5.772628307342528,5.772628307342528,103.362416524465,103.362416524465
08/01/2017,1,0,-1,4.665217876434326,3.665217876434326,86.8125227344072,85.8125227344072
15/01/2017,0,1,1,2.94253158569336,2.94253158569336,13.9671662381129,13.9671662381129
22/01/2017,5,0,-5,3.2207334041595463,-1.7792665958404537,-19.1242929008323,-24.1242929008323
29/01/2017,2,5,3,3.8036179542541504,1.8036179542541504,5.34031824664612,3.3403182466461203
05/02/2017,3,2,-1,3.686370849609375,0.686370849609375,16.1295831318913,13.129583131891302
12/02/2017,1,3,2,3.320319652557373,2.320319652557373,20.0450335132007,19.0450335132007
19/02/2017,4,1,-3,3.439848661422729,-0.560151338577271,17.4737305572992,13.473730557299199
26/02/2017,1,4,3,3.7919728755950928,2.7919728755950928,-11.2743753342581,-12.2743753342581
05/03/2017,3,1,-2,2.9529409408569336,-0.047059059143066406,-16.1819401222384,-19.1819401222384
12/03/2017,0,3,3,1.9303133487701416,1.9303133487701416,-14.3455732190258,-14.3455732190258
19/03/2017,4,0,-4,3.193564176559448,-0.8064358234405522,2.56241162834961,-1.4375883716503899
26/03/2017,0,4,4,2.059032201766968,2.059032201766968,2.9553230297061197,2.9553230297061197
02/04/2017,0,0,0,1.4661890268325806,1.4661890268325806,1.2787669167719298,1.2787669167719298
09/04/2017,3,0,-3,1.5745863914489746,-1.4254136085510254,3.2361812552398197,0.2361812552398197
16/04/2017,0,3,3,7.836027145385742,7.836027145385742,0.36248701250803395,0.36248701250803395
23/04/2017,0,0,0,0.7713292837142944,0.7713292837142944,-13.802455429033598,-13.802455429033598
30/04/2017,0,0,0,1.5622538328170776,1.5622538328170776,2.8355320621379705,2.8355320621379705
07/05/2017,0,0,0,1.3625177145004272,1.3625177145004272,-1.57427082919594,-1.57427082919594
14/05/2017,1,0,-1,1.393950581550598,0.3939505815505979,3.68904566912136,2.68904566912136
21/05/2017,6,1,-5,1.826707482337952,-4.173292517662048,1.0,-5.0
28/05/2017,-5,6,11,3.919399738311768,8.919399738311768,5.67917165101205,10.67917165101205
04/06/2017,1,-5,-6,1.3584327697753906,0.3584327697753906,-5.24392539859892,-6.24392539859892
11/06/2017,4,1,-3,4.500061988830566,0.5000619888305664,-0.024640576258844,-4.024640576258844
18/06/2017,5,4,-1,22.47605323791504,17.47605323791504,6.02405847706387,1.0240584770638703
25/06/2017,-13,5,18,0.6408457756042479,13.640845775604248,3.1232033050424506,16.123203305042452
02/07/2017,2,-13,-15,6.423126697540282,4.423126697540282,-11.1578364126177,-13.1578364126177
09/07/2017,0,2,2,7.23201847076416,7.23201847076416,-7.18795815437642,-7.18795815437642
16/07/2017,3,0,-3,5.325189590454102,2.3251895904541016,0.0,-3.0
23/07/2017,0,3,3,1.7197874784469604,1.7197874784469604,2.2169687908828797,2.2169687908828797
30/07/2017,0,0,0,1.5291982889175415,1.5291982889175415,0.9656739078012458,0.9656739078012458
06/08/2017,2,0,-2,1.2406634092330933,-0.7593365907669067,0.30496586221099603,-1.695034137789004
13/08/2017,0,2,2,1.0203021764755251,1.0203021764755251,0.930647679573417,0.930647679573417
20/08/2017,1,0,-1,1.3006024360656738,0.30060243606567383,0.561576925405069,-0.438423074594931
27/08/2017,-3,1,4,1.2100677490234375,4.2100677490234375,1.7263886359351102,4.72638863593511
03/09/2017,20,-3,-23,0.8233569860458374,-19.176643013954163,-2.41862486094711,-22.41862486094711
10/09/2017,-16,20,36,0.8938067555427551,16.893806755542755,3.3495772987627404,19.34957729876274
17/09/2017,0,-16,-16,7.827147960662843,7.827147960662843,4.96468655530785,4.96468655530785
24/09/2017,0,0,0,3.9953343868255615,3.9953343868255615,0.52807591869189,0.52807591869189
01/10/2017,0,0,0,4.6961188316345215,4.6961188316345215,3.59685255494937,3.59685255494937
08/10/2017,0,0,0,1.237252712249756,1.237252712249756,-2.7696960305396896,-2.7696960305396896
15/10/2017,0,0,0,3.1933104991912837,3.1933104991912837,-2.70107679814004,-2.70107679814004
22/10/2017,0,0,0,3.391282558441162,3.391282558441162,-2.21810973618745,-2.21810973618745
29/10/2017,0,0,0,3.1870715618133545,3.1870715618133545,-2.62961588985528,-2.62961588985528
05/11/2017,0,0,0,3.233022451400757,3.233022451400757,-0.648570522377028,-0.648570522377028
12/11/2017,2,0,-2,2.4591782093048096,0.45917820930480957,-1.92763768491807,-3.92763768491807
19/11/2017,-2,2,4,3.508496761322021,5.5084967613220215,0.0,2.0
26/11/2017,0,-2,-2,2.1960914134979252,2.1960914134979252,1.4313993951233699,1.4313993951233699
03/12/2017,1,0,-1,2.4444758892059326,1.4444758892059326,-0.300986867151519,-1.300986867151519
10/12/2017,4,1,-3,3.2154417037963867,-0.7845582962036133,0.150695227516551,-3.849304772483449
17/12/2017,4,4,0,1.2781387567520142,-2.721861243247986,-0.9833653318092092,-4.9833653318092095
24/12/2017,3,4,1,0.7747242450714111,-2.225275754928589,-0.9287557691240279,-3.928755769124028
