"","x"
"1",2.17378340929936
"2",-10.5563447150871
"3",-21.0214286415587
"4",12.5275961235731
"5",1.46002365712575
"6",6.2413560391782
"7",3.17044371960769
"8",13.6477864572255
"9",43.4215494203559
"10",46.7702981704815
"11",52.3352028194993
"12",27.4108540463319
"13",21.6249431089264
"14",8.59744870247219
"15",-0.209624089535337
"16",2.33798752716014
"17",6.31683918544656
"18",2.51476282553105
"19",-4.73121871851186
"20",9.27348525759099
"21",13.2314579283793
"22",11.8807480480111
"23",20.1445021503758
"24",22.4242327914416
"25",41.9130348076445
"26",69.2150992880547
"27",110.224500808409
"28",163.257647637495
"29",236.178589896261
"30",288.992572049594
"31",217.110380147345
"32",166.149034483791
"33",71.5311383656192
"34",-21.0557560997127
"35",15.363714469441
"36",37.0993236042206
"37",22.2773161788608
"38",50.3675292864387
"39",49.494094447598
"40",4.65873208388803
"41",-18.4618682649969
"42",-9.42511192686561
"43",79.3150496448955
"44",29.496580623764
"45",-15.4977028271883
"46",-23.8746674939686
"47",36.3016349170389
"48",51.7816234893953
"49",-60.1573481668831
"50",38.4643802606914
"51",-50.0687787545374
"52",67.0122401470607
