"","x"
"1",-19.9781225022332
"2",5.56663876473514
"3",-15.5031613582721
"4",27.9550383351624
"5",13.7653238315017
"6",40.4881295995405
"7",22.9427812345221
"8",48.960308301926
"9",29.0199724555101
"10",52.1418703946169
"11",27.5596087205181
"12",41.5155432491058
"13",14.5396207975619
"14",31.8118207144897
"15",31.4622909111182
"16",25.8881732669142
"17",-0.12565394351935
"18",11.6416294946627
"19",3.70754262108284
"20",14.8259258982612
"21",15.5547312819674
"22",12.1077110818967
"23",5.92507416868777
"24",13.6398593021743
"25",11.7897182416867
"26",7.09118106739052
"27",6.61114064513423
"28",4.74619936165915
"29",7.66938811191204
"30",-6.83442097605023
"31",-4.00406093164758
"32",1.54433309285707
"33",-1.08596955088211
"34",6.52975875336109
"35",6.74985269211952
"36",-1.81926364712701
"37",-3.30815132340181
"38",-2.23095271915354
"39",-7.04118124253407
"40",-2.11254765484802
"41",-4.90140984247479
"42",2.61001440196263
"43",11.2824184878649
"44",17.2578993265817
"45",-0.19959101880706
"46",0.419666219597821
"47",7.69314790375623
"48",18.9869061355441
"49",-12.5589489666802
"50",14.5499972756729
"51",-4.21615540121551
"52",-4.88677225826575
