,Observerd,LSTM-NN
0,0.047683192866594344,0.6160140633583069
1,0.0,2.074625253677368
2,0.0,1.7593538761138916
3,0.09536638573318869,1.902806043624878
4,0.047683192866594344,0.9994291663169861
5,0.047683192866594344,0.8195427656173706
6,0.0,0.47927728295326233
7,0.09536638573318869,0.39102479815483093
8,0.0,0.40623489022254944
9,0.047683192866594344,0.525090217590332
10,0.0,0.33012089133262634
11,0.09536638573318869,0.32992053031921387
12,0.0,0.5629357099533081
13,0.09536638573318869,0.30665430426597595
14,0.0,0.08183100819587708
15,0.0,0.5743242502212524
16,0.0,0.3620860278606415
17,0.0,0.1809389591217041
18,0.0,0.022031038999557495
19,0.0,0.0819656252861023
20,0.0,0.21322131156921387
21,0.0,0.07640430331230164
22,0.0,0.11139693856239319
23,0.0,0.2797698676586151
24,0.0,0.036638855934143066
25,0.0,-0.024312466382980347
26,0.0,0.09475255012512207
27,0.047683192866594344,0.0956566333770752
28,0.0,0.14989715814590454
29,0.0,0.042778968811035156
30,0.0,0.0503157377243042
31,0.14304957859978304,0.01805061101913452
32,0.0,0.1925140917301178
33,0.0,0.058088064193725586
34,0.0,0.013725578784942627
35,0.0,0.1819523274898529
36,0.0,0.09598982334136963
37,0.0,0.09818342328071594
38,0.0,-0.016583114862442017
39,0.0,0.12470829486846924
40,0.0,0.06513386964797974
41,0.0,0.02314653992652893
42,0.0,0.031275659799575806
43,0.0,0.04776296019554138
44,0.0,0.06492719054222107
45,0.0,0.04458311200141907
46,0.0,0.03956136107444763
47,0.0,0.03461119532585144
48,0.0,0.07689204812049866
49,0.0,0.07327550649642944
50,0.0,0.05774381756782532
51,0.0,0.0414295494556427
