,Observerd,LSTM-NN
0,-0.01159021529191372,0.12201985716819763
1,0.005006784249009633,0.07691484689712524
2,0.02160378379215053,0.032066017389297485
3,0.03820078332198615,0.1606338918209076
4,0.05479778287843232,0.1064782440662384
5,0.06977199497610216,0.06552496552467346
6,0.07500948245416673,0.17299459874629974
7,0.07862418249563043,0.16822251677513123
8,0.08020451900222965,0.1524198055267334
9,0.06957867418876464,0.1187189519405365
10,0.05691846581825967,0.16272825002670288
11,0.053958901019907676,0.05669093132019043
12,0.06069997974935772,0.028928250074386597
13,0.06393305510653917,0.07403609156608582
14,0.04611811007488081,0.04030117392539978
15,0.02479516167095385,0.050559043884277344
16,0.0034722132559391575,0.02352645993232727
17,-0.0040088321961085326,0.0019100606441497803
18,0.0023520253125932336,0.015507608652114868
19,0.008712882823512546,0.02005907893180847
20,0.015073740332214314,0.00667417049407959
21,0.021434597840916083,0.03294724225997925
22,0.01902365622507892,0.05071014165878296
23,0.007840915480267753,0.056898921728134155
24,-0.003341825262325871,0.018673568964004517
25,-0.014524566007137044,-0.008359938859939575
26,-0.025707306747513117,0.017861396074295044
27,-0.036890047483454105,0.045399636030197144
28,-0.03453549191165132,-0.004201918840408325
29,-0.01864363998553627,0.04409956932067871
30,-0.0027517880638563154,0.10920944809913635
31,0.013140063857823639,-0.0019431114196777344
32,0.013470504183336523,0.031919926404953
33,-0.0017604670873176563,0.13235630095005035
34,-0.009327269596499078,0.033347129821777344
35,-0.009229903346425289,-0.01741129159927368
36,-0.009132537098569047,0.028429806232452393
37,-0.007712732553634819,0.004967361688613892
38,-0.004970489716057698,0.10808205604553223
39,0.0,0.06179124116897583
40,0.018339970980288528,0.2116534411907196
41,0.03406979945344554,0.06638628244400024
42,0.02076929167280373,0.08667805790901184
43,0.002630394510984909,0.1688988357782364
44,0.010674889509595172,0.08879435062408447
45,0.0376983047249769,0.05793634057044983
46,0.024393020704396817,0.11351962387561798
47,0.019957926030870123,0.07022598385810852
48,0.008870189347053387,0.11209873855113983
49,-0.008870189347053387,0.05060458183288574
50,0.0022175473367633466,0.043867915868759155
51,0.0332632100514502,0.05136924982070923
