,Observerd,PREDICTED
0,2.0,11.063798904418945
1,5.0,19.924440383911133
2,6.0,18.63461685180664
3,13.0,18.921384811401367
4,6.0,6.923874855041504
5,5.0,5.0111517906188965
6,9.0,3.7025880813598633
7,8.0,13.260869979858398
8,10.0,10.2857027053833
9,5.0,7.0598673820495605
10,4.0,7.515908241271973
11,5.0,11.210742950439453
12,5.0,13.085949897766113
13,0.0,7.629987716674805
14,8.0,5.481224536895752
15,5.0,5.016648769378662
16,3.0,7.4276814460754395
17,4.0,3.159982919692993
18,2.0,10.094836235046387
19,5.0,9.865047454833984
20,8.0,6.908021450042725
21,0.0,3.8988037109375
22,6.0,4.542784690856934
23,4.0,8.282254219055176
24,1.0,10.394429206848145
25,-8.0,3.401176691055298
26,2.0,6.725993633270264
27,1.0,3.905928373336792
28,1.0,3.4153265953063965
29,0.0,3.063459873199463
30,1.0,3.5368096828460693
31,1.0,3.1919498443603516
32,4.0,1.3760625123977661
33,2.0,0.2038109302520752
34,-16.0,1.340278148651123
35,-1.0,0.30409929156303406
36,14.0,1.0889112949371338
37,-1.0,3.49495267868042
38,3.0,0.6584329009056091
39,3.0,-2.494281053543091
40,2.0,3.5037596225738525
41,2.0,4.479650974273682
42,-4.0,7.219272613525391
43,0.0,5.443737506866455
44,3.0,6.3673095703125
45,8.0,-2.1579744815826416
46,4.0,-0.8617953658103943
47,-3.0,-5.327919960021973
48,7.0,-3.3962926864624023
49,4.0,2.4365673065185547
50,-1.0,5.906373500823975
51,-5.0,0.5282495617866516
