,Observerd,PREDICTED
0,4.0,17.140769958496094
1,3.0,8.23514461517334
2,2.0,6.552297592163086
3,1.0,5.191175937652588
4,4.0,4.227023124694824
5,3.0,5.506864070892334
6,3.0,4.822192192077637
7,1.0,5.038550853729248
8,0.0,4.635293006896973
9,0.0,2.5618984699249268
10,2.0,1.9775069952011108
11,1.0,2.272820234298706
12,0.0,1.5379115343093872
13,0.0,0.66575688123703
14,2.0,0.6751402616500854
15,1.0,1.8099840879440308
16,0.0,-0.7747068405151367
17,1.0,1.8506853580474854
18,1.0,0.48012441396713257
19,1.0,2.7066943645477295
20,5.0,0.3260880708694458
21,-4.0,3.7723770141601562
22,0.0,3.9581851959228516
23,1.0,0.8400673270225525
24,2.0,6.133183002471924
25,-3.0,-1.869174838066101
26,1.0,1.8948688507080078
27,2.0,0.6311816573143005
28,2.0,-0.22430452704429626
29,0.0,-0.014848251827061176
30,-2.0,1.780442237854004
31,0.0,1.19663405418396
32,1.0,3.886124849319458
33,0.0,1.8519214391708374
34,-1.0,0.1782260537147522
35,1.0,0.3429095149040222
36,10.0,2.7808187007904053
37,0.0,0.6272553205490112
38,0.0,4.759184837341309
39,1.0,1.0523407459259033
40,0.0,11.484844207763672
41,1.0,0.1484520584344864
42,0.0,-1.359886884689331
43,0.0,0.27263450622558594
44,0.0,-3.646500587463379
45,3.0,1.5642192363739014
46,-1.0,3.378955364227295
47,-1.0,-8.079742431640625
48,1.0,-4.901573181152344
49,1.0,0.05118805915117264
50,0.0,5.455142974853516
51,0.0,1.6984907388687134
