,Observed,Naive-Week1,Naive-Week2,Naive-Week3,Naive-Week4
52,13.35814044,22.0,41.0,60.0,64.0
53,4.619380146,13.35814044,22.0,41.0,60.0
54,-4.119380146,4.619380146,13.35814044,22.0,41.0
55,-12.85814044,-4.119380146,4.619380146,13.35814044,22.0
56,-21.59690073,-12.85814044,-4.119380146,4.619380146,13.35814044
57,-20.33488513,-21.59690073,-12.85814044,-4.119380146,4.619380146
58,40.93178586,-20.33488513,-21.59690073,-12.85814044,-4.119380146
59,112.19923270000001,40.93178586,-20.33488513,-21.59690073,-12.85814044
60,166.0888975,112.19923270000001,40.93178586,-20.33488513,-21.59690073
61,115.7118697,166.0888975,112.19923270000001,40.93178586,-20.33488513
62,47.95705989,115.7118697,166.0888975,112.19923270000001,40.93178586
63,65.04294011,47.95705989,115.7118697,166.0888975,112.19923270000001
64,166.96951040000002,65.04294011,47.95705989,115.7118697,166.0888975
65,244.26405380000003,166.96951040000002,65.04294011,47.95705989,115.7118697
66,173.7664357,244.26405380000003,166.96951040000002,65.04294011,47.95705989
67,78.63679075,173.7664357,244.26405380000003,166.96951040000002,65.04294011
68,-16.49285424,78.63679075,173.7664357,244.26405380000003,166.96951040000002
69,-47.5648225,-16.49285424,78.63679075,173.7664357,244.26405380000003
70,-14.57911401,-47.5648225,-16.49285424,78.63679075,173.7664357
71,18.40659447,-14.57911401,-47.5648225,-16.49285424,78.63679075
72,51.39230295,18.40659447,-14.57911401,-47.5648225,-16.49285424
73,84.37801144,51.39230295,18.40659447,-14.57911401,-47.5648225
74,90.7831428,84.37801144,51.39230295,18.40659447,-14.57911401
75,70.60769705,90.7831428,84.37801144,51.39230295,18.40659447
76,50.43225129,70.60769705,90.7831428,84.37801144,51.39230295
77,30.25680554,50.43225129,70.60769705,90.7831428,84.37801144
78,10.08135978,30.25680554,50.43225129,70.60769705,90.7831428
79,-10.09408597,10.08135978,30.25680554,50.43225129,70.60769705
80,-16.81499249,-10.09408597,10.08135978,30.25680554,50.43225129
81,-10.08135978,-16.81499249,-10.09408597,10.08135978,30.25680554
82,-3.347727073,-10.08135978,-16.81499249,-10.09408597,10.08135978
83,3.385905638,-3.347727073,-10.08135978,-16.81499249,-10.09408597
84,-3.385905638,3.385905638,-3.347727073,-10.08135978,-16.81499249
85,-23.6631609,-3.385905638,3.385905638,-3.347727073,-10.08135978
86,23.6631609,-23.6631609,-3.385905638,3.385905638,-3.347727073
87,138.59305980000002,23.6631609,-23.6631609,-3.385905638,3.385905638
88,253.5229586,138.59305980000002,23.6631609,-23.6631609,-3.385905638
89,245.2149494,253.5229586,138.59305980000002,23.6631609,-23.6631609
90,113.66903219999999,245.2149494,253.5229586,138.59305980000002,23.6631609
91,0.0,113.66903219999999,245.2149494,253.5229586,138.59305980000002
92,-6.407722229,0.0,113.66903219999999,245.2149494,253.5229586
93,3.3742936930000003,-6.407722229,0.0,113.66903219999999,245.2149494
94,3.033428537,3.3742936930000003,-6.407722229,0.0,113.66903219999999
95,1.005416534,3.033428537,3.3742936930000003,-6.407722229,0.0
96,-0.005416534000000001,1.005416534,3.033428537,3.3742936930000003,-6.407722229
97,0.0,-0.005416534000000001,1.005416534,3.033428537,3.3742936930000003
98,0.0,0.0,-0.005416534000000001,1.005416534,3.033428537
99,0.0,0.0,0.0,-0.005416534000000001,1.005416534
100,0.0,0.0,0.0,0.0,-0.005416534000000001
101,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0
