,Observed,Naive-Week1,Naive-Week2,Naive-Week3,Naive-Week4
52,-24.05682707,29.0,68.0,82.0,94.0
53,1.6477243080000001,-24.05682707,29.0,68.0,82.0
54,27.35227569,1.6477243080000001,-24.05682707,29.0,68.0
55,53.05682707,27.35227569,1.6477243080000001,-24.05682707,29.0
56,78.76137846,53.05682707,27.35227569,1.6477243080000001,-24.05682707
57,99.31061989,78.76137846,53.05682707,27.35227569,1.6477243080000001
58,88.92800165,99.31061989,78.76137846,53.05682707,27.35227569
59,73.39007346,88.92800165,99.31061989,78.76137846,53.05682707
60,60.56809684,73.39007346,88.92800165,99.31061989,78.76137846
61,64.04182970000001,60.56809684,73.39007346,88.92800165,99.31061989
62,70.23151413,64.04182970000001,60.56809684,73.39007346,88.92800165
63,84.76848587,70.23151413,64.04182970000001,60.56809684,73.39007346
64,107.6527449,84.76848587,70.23151413,64.04182970000001,60.56809684
65,123.1357804,107.6527449,84.76848587,70.23151413,64.04182970000001
66,94.21147471,123.1357804,107.6527449,84.76848587,70.23151413
67,57.88594549,94.21147471,123.1357804,107.6527449,84.76848587
68,21.56041628,57.88594549,94.21147471,123.1357804,107.6527449
69,8.837235392,21.56041628,57.88594549,94.21147471,123.1357804
70,19.71640284,8.837235392,21.56041628,57.88594549,94.21147471
71,30.59557028,19.71640284,8.837235392,21.56041628,57.88594549
72,41.47473772,30.59557028,19.71640284,8.837235392,21.56041628
73,52.35390516,41.47473772,30.59557028,19.71640284,8.837235392
74,52.59296891,52.35390516,41.47473772,30.59557028,19.71640284
75,42.19192895,52.59296891,52.35390516,41.47473772,30.59557028
76,31.79088898,42.19192895,52.59296891,52.35390516,41.47473772
77,21.38984902,31.79088898,42.19192895,52.59296891,52.35390516
78,10.98880906,21.38984902,31.79088898,42.19192895,52.59296891
79,0.587769103,10.98880906,21.38984902,31.79088898,42.19192895
80,15.92856306,0.587769103,10.98880906,21.38984902,31.79088898
81,57.01119094,15.92856306,0.587769103,10.98880906,21.38984902
82,98.09381881,57.01119094,15.92856306,0.587769103,10.98880906
83,139.17644669999999,98.09381881,57.01119094,15.92856306,0.587769103
84,118.8235533,139.17644669999999,98.09381881,57.01119094,15.92856306
85,37.03513868,118.8235533,139.17644669999999,98.09381881,57.01119094
86,6.964861318,37.03513868,118.8235533,139.17644669999999,98.09381881
87,28.61272122,6.964861318,37.03513868,118.8235533,139.17644669999999
88,50.26058112,28.61272122,6.964861318,37.03513868,118.8235533
89,48.82392995,50.26058112,28.61272122,6.964861318,37.03513868
90,24.3027677,48.82392995,50.26058112,28.61272122,6.964861318
91,4.0,24.3027677,48.82392995,50.26058112,28.61272122
92,9.007599554,4.0,24.3027677,48.82392995,50.26058112
93,16.71128466,9.007599554,4.0,24.3027677,48.82392995
94,15.28111579,16.71128466,9.007599554,4.0,24.3027677
95,12.32863793,15.28111579,16.71128466,9.007599554,4.0
96,5.671362072999999,12.32863793,15.28111579,16.71128466,9.007599554
97,1.0,5.671362072999999,12.32863793,15.28111579,16.71128466
98,24.0,1.0,5.671362072999999,12.32863793,15.28111579
99,19.0,24.0,1.0,5.671362072999999,12.32863793
100,30.0,19.0,24.0,1.0,5.671362072999999
101,1.0,30.0,19.0,24.0,1.0
102,3.0,1.0,30.0,19.0,24.0
103,56.0,3.0,1.0,30.0,19.0
