,Observed,Naive-Week1,Naive-Week2,Naive-Week3,Naive-Week4
52,-1.265403139,6.0,16.0,22.0,16.0
53,-0.088467713,-1.265403139,6.0,16.0,22.0
54,1.088467713,-0.088467713,-1.265403139,6.0,16.0
55,2.265403139,1.088467713,-0.088467713,-1.265403139,6.0
56,3.442338564,2.265403139,1.088467713,-0.088467713,-1.265403139
57,5.857293771,3.442338564,2.265403139,1.088467713,-0.088467713
58,15.70036766,5.857293771,3.442338564,2.265403139,1.088467713
59,26.78146134,15.70036766,5.857293771,3.442338564,2.265403139
60,35.68614779,26.78146134,15.70036766,5.857293771,3.442338564
61,31.53239087,35.68614779,26.78146134,15.70036766,5.857293771
62,25.20222673,31.53239087,35.68614779,26.78146134,15.70036766
63,18.79777327,25.20222673,31.53239087,35.68614779,26.78146134
64,12.31903049,18.79777327,25.20222673,31.53239087,35.68614779
65,6.115747364,12.31903049,18.79777327,25.20222673,31.53239087
66,1.565222145,6.115747364,12.31903049,18.79777327,25.20222673
67,-2.709843423,1.565222145,6.115747364,12.31903049,18.79777327
68,-6.984908991,-2.709843423,1.565222145,6.115747364,12.31903049
69,-2.1375327840000002,-6.984908991,-2.709843423,1.565222145,6.115747364
70,11.8322852,-2.1375327840000002,-6.984908991,-2.709843423,1.565222145
71,25.80210318,11.8322852,-2.1375327840000002,-6.984908991,-2.709843423
72,39.77192116,25.80210318,11.8322852,-2.1375327840000002,-6.984908991
73,53.74173914,39.77192116,25.80210318,11.8322852,-2.1375327840000002
74,79.78268059,53.74173914,39.77192116,25.80210318,11.8322852
75,117.89474550000001,79.78268059,53.74173914,39.77192116,25.80210318
76,156.0068104,117.89474550000001,79.78268059,53.74173914,39.77192116
77,194.1188753,156.0068104,117.89474550000001,79.78268059,53.74173914
78,232.23094019999996,194.1188753,156.0068104,117.89474550000001,79.78268059
79,270.3430052,232.23094019999996,194.1188753,156.0068104,117.89474550000001
80,254.63348939999997,270.3430052,232.23094019999996,194.1188753,156.0068104
81,185.1023931,254.63348939999997,270.3430052,232.23094019999996,194.1188753
82,115.57129669999999,185.1023931,254.63348939999997,270.3430052,232.23094019999996
83,46.04020039,115.57129669999999,185.1023931,254.63348939999997,270.3430052
84,6.959799614,46.04020039,115.57129669999999,185.1023931,254.63348939999997
85,-1.6699055790000001,6.959799614,46.04020039,115.57129669999999,185.1023931
86,1.6699055790000001,-1.6699055790000001,6.959799614,46.04020039,115.57129669999999
87,16.97923309,1.6699055790000001,-1.6699055790000001,6.959799614,46.04020039
88,32.28856059,16.97923309,1.6699055790000001,-1.6699055790000001,6.959799614
89,30.90466375,32.28856059,16.97923309,1.6699055790000001,-1.6699055790000001
90,12.82754257,30.90466375,32.28856059,16.97923309,1.6699055790000001
91,0.0,12.82754257,30.90466375,32.28856059,16.97923309
92,18.66992915,0.0,12.82754257,30.90466375,32.28856059
93,36.83740239,18.66992915,0.0,12.82754257,30.90466375
94,20.49266846,36.83740239,18.66992915,0.0,12.82754257
95,-1.604099986,20.49266846,36.83740239,18.66992915,0.0
96,1.604099986,-1.604099986,20.49266846,36.83740239,18.66992915
97,22.0,1.604099986,-1.604099986,20.49266846,36.83740239
98,0.0,22.0,1.604099986,-1.604099986,20.49266846
99,0.0,0.0,22.0,1.604099986,-1.604099986
100,-25.0,0.0,0.0,22.0,1.604099986
101,19.0,-25.0,0.0,0.0,22.0
102,1.0,19.0,-25.0,0.0,0.0
103,-1.0,1.0,19.0,-25.0,0.0
