Date,Observed,Naive,Naive-Error,LSTM-NN,LSTM-NN-Error,SARIMA,SARIMA-Error
02/01/2017,-24.05682707,68.0,92.05682707,59.10345840454102,83.16028547454103,22.987578018872398,47.044405088872395
09/01/2017,1.6477243080000001,29.0,27.352275692,40.427223205566406,38.779498897566405,-40.622094724789704,-42.269819032789705
16/01/2017,27.35227569,-24.05682707,-51.409102759999996,17.91241455078125,-9.439861139218749,-92.3169649367703,-119.6692406267703
23/01/2017,53.05682707,1.647724308,-51.409102761999996,3.54496693611145,-49.51186013388855,109.39364122862499,56.33681415862499
30/01/2017,78.76137846,27.35227569,-51.409102770000004,9.273382186889648,-69.48799627311035,49.269045519954794,-29.49233294004521
06/02/2017,99.31061989,53.05682707,-46.25379282,42.59362411499024,-56.71699577500976,74.86907225671679,-24.441547633283207
13/02/2017,88.92800165,78.76137846,-10.166623189999996,79.17582702636719,-9.752174623632811,21.437969990911398,-67.4900316590886
20/02/2017,73.39007346,99.31061989,25.92054643,109.55946350097656,36.169390040976566,1.25748464593467,-72.13258881406533
27/02/2017,60.56809684,88.92800165,28.359904809999996,95.07413482666016,34.506037986660154,110.577859503528,50.009762663528
06/03/2017,64.04182970000001,73.39007346,9.348243759999988,56.15263366699219,-7.889196033007821,84.5930699235133,20.55124022351329
13/03/2017,70.23151413,60.56809684,-9.663417289999991,40.000587463378906,-30.230926666621087,25.746817703968603,-44.48469642603139
20/03/2017,84.76848587,64.04182970000001,-20.72665617,38.26413345336914,-46.504352416630866,103.98845270830601,19.219966838306007
27/03/2017,107.6527449,70.23151413,-37.42123077000001,44.19403076171875,-63.45871413828125,91.8449890777496,-15.8077558222504
03/04/2017,123.1357804,84.76848587,-38.367294529999995,64.39386749267578,-58.74191290732422,122.83329747098401,-0.3024829290159943
10/04/2017,94.21147471,107.6527449,13.441270189999997,103.19005584716795,8.97858113716795,169.543682548626,75.332207838626
17/04/2017,57.88594549,123.1357804,65.24983491,128.5009765625,70.6150310725,145.983934467531,88.09798897753099
24/04/2017,21.56041628,94.21147471,72.65105843,71.84638977050781,50.285973490507814,43.2779234271587,21.7175071471587
01/05/2017,8.837235392,57.88594549,49.048710098,42.128517150878906,33.29128175887891,40.3284109031785,31.4911755111785
08/05/2017,19.71640284,21.56041628,1.8440134399999977,10.959890365600586,-8.756512474399415,-13.6737751184408,-33.3901779584408
15/05/2017,30.59557028,8.837235392,-21.758334888,4.46543025970459,-26.13014002029541,44.3542223478574,13.758652067857401
22/05/2017,41.47473772,19.71640284,-21.75833488,5.140727519989014,-36.33401020001099,58.0159206480693,16.541182928069297
29/05/2017,52.35390516,30.59557028,-21.758334879999996,25.487382888793945,-26.86652227120605,44.426342470266505,-7.927562689733492
05/06/2017,52.59296891,41.47473772,-11.118231190000003,63.87242889404297,11.279459984042965,74.942481669795,22.349512759794997
12/06/2017,42.19192895,52.35390516,10.161976209999999,74.64856719970703,32.456638249707034,55.27824956235251,13.086320612352509
19/06/2017,31.79088898,52.59296891,20.802079930000005,64.09709167480469,32.30620269480469,69.5962831558863,37.8053941758863
26/06/2017,21.38984902,42.19192895,20.802079929999998,30.37644004821777,8.98659102821777,60.135346522722394,38.745497502722394
03/07/2017,10.98880906,31.79088898,20.802079919999997,27.31530570983887,16.326496649838873,43.475115650367606,32.486306590367604
10/07/2017,0.587769103,21.38984902,20.802079917,17.14504051208496,16.55727140908496,51.4860038757166,50.8982347727166
17/07/2017,15.92856306,10.98880906,-4.939754000000001,9.593151092529297,-6.335411967470703,42.3144596184434,26.3858965584434
24/07/2017,57.01119094,0.587769103,-56.423421837,7.489669322967528,-49.52152161703247,34.332488734984004,-22.678702205015995
31/07/2017,98.09381881,15.92856306,-82.16525575,11.252724647521973,-86.84109416247803,55.7317612544998,-42.3620575555002
07/08/2017,139.17644669999999,57.01119094,-82.16525575999998,71.52496337890625,-67.65148332109374,98.5996000565502,-40.576846643449784
14/08/2017,118.8235533,98.09381881,-20.72973449,150.8741455078125,32.0505922078125,95.933234256949,-22.890319043050994
21/08/2017,37.03513868,139.1764467,102.14130802000001,207.5921936035156,170.55705492351558,98.0913305527937,61.056191872793704
28/08/2017,6.964861318,118.8235533,111.858691982,147.02560424804688,140.06074293004687,83.062780024052,76.097918706052
04/09/2017,28.61272122,37.03513868,8.422417460000002,47.09264373779297,18.479922517792968,-15.3326686958943,-43.9453899158943
11/09/2017,50.26058112,6.964861318,-43.295719802,43.915748596191406,-6.344832523808591,22.7961462814049,-27.464434838595096
18/09/2017,48.82392995,28.61272122,-20.21120873,39.52407836914063,-9.299851580859368,79.4487609237153,30.624830973715298
25/09/2017,24.3027677,50.26058112,25.957813419999997,33.43689727783203,9.13412957783203,67.914505607041,43.61173790704099
02/10/2017,4.0,48.82392995,44.82392995,60.697532653808594,56.697532653808594,58.0975639936306,54.0975639936306
09/10/2017,9.007599554,24.3027677,15.295168146,16.45536231994629,7.447762765946289,38.928445724147295,29.920846170147293
16/10/2017,16.71128466,4.0,-12.71128466,28.4744930267334,11.763208366733398,48.2779315696714,31.5666469096714
23/10/2017,15.28111579,9.007599554,-6.273516235999999,31.26376533508301,15.982649545083012,46.448651787931205,31.167535997931203
30/10/2017,12.32863793,16.71128466,4.382646730000001,26.00065803527832,13.672020105278321,47.729858130406704,35.401220200406705
06/11/2017,5.671362072999999,15.28111579,9.609753717,12.32304859161377,6.65168651861377,43.465506817071,37.794144744071005
13/11/2017,1.0,12.32863793,11.32863793,19.208362579345703,18.208362579345703,34.974613374684,33.974613374684
