Date,Observed,Naive,Naive-Error,LSTM-NN,LSTM-NN-Error,SARIMA,SARIMA-Error
31/12/2016,70,8,-62,1.2780336141586304,-68.72196638584137,9.60783035641738,-60.39216964358262
07/01/2017,1,16,15,1.1026328802108765,0.10263288021087646,20.3974321968082,19.3974321968082
14/01/2017,0,1,1,1.8267577886581419,1.8267577886581419,9.57985297366192,9.57985297366192
21/01/2017,0,2,2,1.317334532737732,1.317334532737732,16.7660632898925,16.7660632898925
28/01/2017,0,70,70,0.9938287138938904,0.9938287138938904,45.2101860529456,45.2101860529456
04/02/2017,1,1,0,1.9199726581573489,0.9199726581573489,12.9690532904821,11.9690532904821
11/02/2017,1,0,-1,2.18110466003418,1.1811046600341801,42.796280846512296,41.796280846512296
18/02/2017,2,0,-2,0.7570928335189819,-1.242907166481018,12.349231438486099,10.349231438486099
25/02/2017,0,0,0,1.0983797311782837,1.0983797311782837,1.2910537510531999,1.2910537510531999
04/03/2017,1,1,0,1.06988525390625,0.06988525390625,4.47873949307779,3.47873949307779
11/03/2017,0,1,1,1.1161186695098877,1.1161186695098877,-0.0832091515977407,-0.0832091515977407
18/03/2017,0,2,2,1.2089347839355469,1.2089347839355469,30.8568541341153,30.8568541341153
25/03/2017,1,0,-1,1.4504475593566897,0.4504475593566897,2.06557500878216,1.0655750087821598
01/04/2017,0,1,1,1.99907910823822,1.99907910823822,-1.6654860390339399,-1.6654860390339399
08/04/2017,0,0,0,1.3062477111816406,1.3062477111816406,-1.95332015543277,-1.95332015543277
15/04/2017,0,0,0,1.2369434833526611,1.2369434833526611,-2.83354374683767,-2.83354374683767
22/04/2017,3,1,-2,1.4919929504394531,-1.5080070495605469,-2.08628321551835,-5.08628321551835
29/04/2017,1,0,-1,1.360906004905701,0.3609060049057009,-5.07152635377498,-6.07152635377498
06/05/2017,0,0,0,3.0361289978027344,3.0361289978027344,-7.959794697573369,-7.959794697573369
13/05/2017,0,0,0,2.967648267745972,2.967648267745972,-11.1788659038979,-11.1788659038979
20/05/2017,0,3,3,2.667858362197876,2.667858362197876,-6.212665055121129,-6.212665055121129
27/05/2017,0,1,1,2.1705336570739746,2.1705336570739746,-2.8385362050199503,-2.8385362050199503
03/06/2017,1,0,-1,1.532844305038452,0.5328443050384519,-2.428661189199,-3.428661189199
10/06/2017,0,0,0,1.438076376914978,1.438076376914978,-1.2344841728745,-1.2344841728745
17/06/2017,1,0,-1,1.0550680160522459,0.05506801605224587,-4.465346802666719,-5.465346802666719
24/06/2017,4,0,-4,1.798697590827942,-2.201302409172058,-1.2482116430463102,-5.24821164304631
01/07/2017,0,1,1,1.5884954929351809,1.5884954929351809,1.47607351692359,1.47607351692359
08/07/2017,0,0,0,1.069247484207153,1.069247484207153,8.45423637359012,8.45423637359012
15/07/2017,2,1,-1,1.0223509073257446,-0.9776490926742554,9.68176515330901,7.68176515330901
22/07/2017,0,4,4,0.6379108428955078,0.6379108428955078,9.00724383347948,9.00724383347948
29/07/2017,1,0,-1,1.5292340517044067,0.5292340517044067,1.57239123071477,0.57239123071477
05/08/2017,1,0,-1,2.113628387451172,1.1136283874511719,2.60166001613858,1.6016600161385801
12/08/2017,1,2,1,1.9388177394866943,0.9388177394866943,12.5559432503895,11.5559432503895
19/08/2017,1,0,-1,1.6371401548385618,0.6371401548385618,-11.92284096978,-12.92284096978
26/08/2017,2,1,-1,1.0329403877258299,-0.9670596122741701,-8.89381231536434,-10.89381231536434
02/09/2017,1,1,0,0.8439217805862427,-0.15607821941375732,-4.69707127765156,-5.69707127765156
09/09/2017,2,1,-1,0.8152859210968018,-1.1847140789031982,-0.6286460137329879,-2.628646013732988
16/09/2017,7,1,-6,0.8975410461425781,-6.102458953857422,-1.58230637016851,-8.58230637016851
23/09/2017,1,2,1,1.1051937341690063,0.10519373416900635,1.72131475978659,0.7213147597865901
30/09/2017,12,1,-11,1.2864185571670532,-10.713581442832947,-0.12365008495497301,-12.123650084954972
07/10/2017,13,2,-11,1.2703580856323242,-11.729641914367676,1.52489345656762,-11.47510654343238
14/10/2017,15,7,-8,1.428294062614441,-13.571705937385559,9.318228823792811,-5.681771176207189
21/10/2017,1,1,0,1.244771122932434,0.24477112293243408,5.29626587504894,4.29626587504894
28/10/2017,21,12,-9,1.116905689239502,-19.883094310760498,7.595842573460031,-13.40415742653997
04/11/2017,5,13,8,1.107219934463501,-3.892780065536499,13.9646061269224,8.9646061269224
11/11/2017,8,15,7,1.4450933933258057,-6.554906606674194,4.5293484982931,-3.4706515017069
18/11/2017,3,1,-2,1.4785526990890503,-1.5214473009109497,2.5682886478769302,-0.43171135212306977
25/11/2017,5,21,16,1.3008841276168823,-3.6991158723831177,5.30902797568773,0.3090279756877301
02/12/2017,3,5,2,1.353301763534546,-1.646698236465454,4.87529307951412,1.8752930795141198
09/12/2017,5,8,3,1.3851641416549685,-3.6148358583450317,4.634076886568581,-0.36592311343141937
16/12/2017,3,3,0,1.1323552131652832,-1.8676447868347168,4.11643872181575,1.1164387218157499
23/12/2017,3,5,2,1.0067977905273438,-1.9932022094726562,5.525565936404361,2.5255659364043606
