Date,Observed,Naive,Naive-Error,LSTM-NN,LSTM-NN-Error,SARIMA,SARIMA-Error
31/12/2016,1,26,25,6.632565021514893,5.632565021514893,5.9288459976667305,4.9288459976667305
07/01/2017,0,8,8,5.414200782775879,5.414200782775879,9.794184015013519,9.794184015013519
14/01/2017,0,16,16,7.565719127655028,7.565719127655028,18.4491360516239,18.4491360516239
21/01/2017,2,1,-1,7.082582473754883,5.082582473754883,10.870508687885499,8.870508687885499
28/01/2017,1,0,-1,2.96438217163086,1.9643821716308598,5.69212961574507,4.69212961574507
04/02/2017,1,0,-1,0.6883091926574707,-0.3116908073425293,37.8736206322413,36.8736206322413
11/02/2017,0,2,2,3.34926986694336,3.34926986694336,38.6408608193708,38.6408608193708
18/02/2017,2,1,-1,2.9253487586975098,0.9253487586975098,15.9434922130303,13.9434922130303
25/02/2017,0,1,1,2.0663201808929443,2.0663201808929443,34.6868188526159,34.6868188526159
04/03/2017,1,0,-1,3.390395164489746,2.390395164489746,8.215131075360969,7.2151310753609685
11/03/2017,0,2,2,3.4024279117584233,3.4024279117584233,4.35146140739815,4.35146140739815
18/03/2017,2,0,-2,2.97481632232666,0.9748163223266602,19.5815763332917,17.5815763332917
25/03/2017,0,1,1,1.7860510349273682,1.7860510349273682,16.9897481481481,16.9897481481481
01/04/2017,2,0,-2,3.6360759735107417,1.6360759735107417,11.297933127105802,9.297933127105802
08/04/2017,0,2,2,-0.8539899587631226,-0.8539899587631226,5.891492736154291,5.891492736154291
15/04/2017,0,0,0,2.025496244430542,2.025496244430542,16.7393855277347,16.7393855277347
22/04/2017,0,2,2,4.679832458496094,4.679832458496094,7.56315739480383,7.56315739480383
29/04/2017,0,0,0,1.736320734024048,1.736320734024048,6.29892157359121,6.29892157359121
06/05/2017,0,0,0,-1.276754379272461,-1.276754379272461,3.81801442381464,3.81801442381464
13/05/2017,0,0,0,1.0869615077972412,1.0869615077972412,12.6481128478841,12.6481128478841
20/05/2017,0,0,0,0.4032084047794342,0.4032084047794342,12.2440138716554,12.2440138716554
27/05/2017,0,0,0,1.3938982486724854,1.3938982486724854,6.73410719949255,6.73410719949255
03/06/2017,0,0,0,-0.7038212418556213,-0.7038212418556213,7.51008750684139,7.51008750684139
10/06/2017,0,0,0,1.7134790420532229,1.7134790420532229,7.54012825864228,7.54012825864228
17/06/2017,0,0,0,1.9519698619842532,1.9519698619842532,4.19192942040176,4.19192942040176
24/06/2017,0,0,0,-1.8700968027114868,-1.8700968027114868,3.7678480004550896,3.7678480004550896
01/07/2017,0,0,0,1.6316989660263062,1.6316989660263062,2.93212426383609,2.93212426383609
08/07/2017,1,0,-1,1.9492030143737795,0.9492030143737795,5.8277886743137595,4.8277886743137595
15/07/2017,0,0,0,1.5539209842681885,1.5539209842681885,9.988846625381159,9.988846625381159
22/07/2017,0,0,0,1.9832446575164795,1.9832446575164795,12.4540442905793,12.4540442905793
29/07/2017,0,1,1,-0.003139495849609375,-0.003139495849609375,14.117010254252698,14.117010254252698
05/08/2017,3,0,-3,1.2810783386230469,-1.7189216613769531,18.079875214475102,15.079875214475102
12/08/2017,0,0,0,0.378959983587265,0.378959983587265,20.595450980392197,20.595450980392197
19/08/2017,0,0,0,1.5487419366836548,1.5487419366836548,20.6306329049992,20.6306329049992
26/08/2017,0,3,3,-1.2271722555160522,-1.2271722555160522,27.381738903161203,27.381738903161203
02/09/2017,0,0,0,1.6949857473373413,1.6949857473373413,41.7177239349341,41.7177239349341
09/09/2017,0,0,0,1.7798280715942385,1.7798280715942385,30.4887321351092,30.4887321351092
16/09/2017,0,0,0,1.2519173622131348,1.2519173622131348,18.734618855103896,18.734618855103896
23/09/2017,0,0,0,0.6541828513145447,0.6541828513145447,20.7691226088121,20.7691226088121
30/09/2017,0,0,0,0.33225217461586,0.33225217461586,24.772825678418396,24.772825678418396
07/10/2017,0,0,0,1.269703388214111,1.269703388214111,37.6244861800693,37.6244861800693
14/10/2017,0,0,0,0.12939563393592834,0.12939563393592834,16.9974775473125,16.9974775473125
21/10/2017,0,0,0,0.9603281021118164,0.9603281021118164,30.553703941455897,30.553703941455897
28/10/2017,0,0,0,0.909375548362732,0.909375548362732,18.001973333915302,18.001973333915302
04/11/2017,0,0,0,0.9381722211837769,0.9381722211837769,20.903315513407602,20.903315513407602
11/11/2017,0,0,0,0.761586606502533,0.761586606502533,8.74047211377868,8.74047211377868
18/11/2017,0,0,0,0.4667245149612427,0.4667245149612427,0.755481224504402,0.755481224504402
25/11/2017,0,0,0,0.4042262434959412,0.4042262434959412,8.49004824219314,8.49004824219314
02/12/2017,0,0,0,0.5336319208145142,0.5336319208145142,2.9330677356389803,2.9330677356389803
09/12/2017,0,0,0,0.789113461971283,0.789113461971283,0.5003515808818889,0.5003515808818889
16/12/2017,0,0,0,0.8694469928741455,0.8694469928741455,0.956665337965146,0.956665337965146
23/12/2017,0,0,0,0.6973521709442139,0.6973521709442139,1.49886414201738,1.49886414201738
