,Observerd,PREDICTED
0,70.0,1.2780336141586304
1,1.0,1.1026328802108765
2,0.0,1.826757788658142
3,0.0,1.317334532737732
4,0.0,0.9938287138938904
5,1.0,1.9199726581573486
6,1.0,2.1811046600341797
7,2.0,0.7570928335189819
8,0.0,1.0983797311782837
9,1.0,1.06988525390625
10,0.0,1.1161186695098877
11,0.0,1.2089347839355469
12,1.0,1.4504475593566895
13,0.0,1.9990791082382202
14,0.0,1.3062477111816406
15,0.0,1.2369434833526611
16,3.0,1.4919929504394531
17,1.0,1.3609060049057007
18,0.0,3.0361289978027344
19,0.0,2.9676482677459717
20,0.0,2.667858362197876
21,0.0,2.1705336570739746
22,1.0,1.5328443050384521
23,0.0,1.438076376914978
24,1.0,1.055068016052246
25,4.0,1.798697590827942
26,0.0,1.5884954929351807
27,0.0,1.0692474842071533
28,2.0,1.0223509073257446
29,0.0,0.6379108428955078
30,1.0,1.5292340517044067
31,1.0,2.113628387451172
32,1.0,1.9388177394866943
33,1.0,1.637140154838562
34,2.0,1.03294038772583
35,1.0,0.8439217805862427
36,2.0,0.8152859210968018
37,7.0,0.8975410461425781
38,1.0,1.1051937341690063
39,12.0,1.2864185571670532
40,13.0,1.2703580856323242
41,15.0,1.428294062614441
42,1.0,1.244771122932434
43,21.0,1.116905689239502
44,5.0,1.107219934463501
45,8.0,1.4450933933258057
46,3.0,1.4785526990890503
47,5.0,1.3008841276168823
48,3.0,1.353301763534546
49,5.0,1.3851641416549683
50,3.0,1.1323552131652832
51,3.0,1.0067977905273438
