,Observerd,PREDICTED
0,12.0,80.9975357055664
1,15.0,27.425764083862305
2,34.0,28.724348068237305
3,44.0,-7.808541297912598
4,57.0,9.873337745666504
5,52.0,26.892820358276367
6,45.0,46.521060943603516
7,35.0,63.358306884765625
8,91.0,55.85704803466797
9,17.0,46.91768264770508
10,29.0,30.066104888916016
11,26.0,79.30001068115234
12,29.0,24.140300750732422
13,0.0,41.1859016418457
14,55.0,0.5992296934127808
15,-13.0,39.87190628051758
16,28.0,7.8714919090271
17,22.0,64.80915832519531
18,20.0,41.433528900146484
19,25.0,18.844892501831055
20,11.0,7.52232551574707
21,31.0,-12.204800605773926
22,16.0,30.947725296020508
23,18.0,23.10513687133789
24,9.0,46.98149108886719
25,8.0,22.755552291870117
26,17.0,35.86859893798828
27,18.0,14.527393341064453
28,15.0,22.19383430480957
29,0.0,32.40399169921875
30,27.0,30.59821128845215
31,20.0,29.335020065307617
32,18.0,18.079580307006836
33,9.0,49.66651153564453
34,-19.0,35.496734619140625
35,-6.0,42.513580322265625
36,17.0,15.275689125061035
37,12.0,46.142921447753906
38,14.0,-57.54930114746094
39,9.0,36.602561950683594
40,6.0,-33.055389404296875
41,12.0,25.039718627929688
42,5.0,16.647863388061523
43,3.0,16.042760848999023
44,6.0,16.717275619506836
45,11.0,8.9249849319458
46,69.0,14.076281547546387
47,-12.0,16.60032844543457
48,24.0,27.506380081176758
49,8.0,129.0769500732422
50,-49.0,41.03604507446289
51,3.0,3.7811663150787354
