"","x"
"1",13.0250756849425
"2",5.31401180889678
"3",-14.2422945799248
"4",39.9342445368873
"5",-17.0279465934738
"6",71.4597995799089
"7",18.290361531891
"8",-5.31591010666308
"9",21.9151418121262
"10",68.8400027763529
"11",65.2652168109109
"12",98.9574151524102
"13",-37.0281798775643
"14",41.9899323447399
"15",36.6031730020485
"16",107.88694311644
"17",42.9368726718328
"18",-0.663667293735269
"19",14.1000705882343
"20",2.51672252571419
"21",21.975690477119
"22",17.1489374944973
"23",3.10380105321222
"24",16.7154255427585
"25",19.2601247446109
"26",10.2969815118031
"27",10.8067921798455
"28",13.0224904519638
"29",28.0255037268449
"30",12.8014813253867
"31",-1.15664256677327
"32",-12.0541618027506
"33",-2.68801684829991
"34",-2.96927176505045
"35",13.7603261763668
"36",8.07876247545718
"37",-9.10220679742867
"38",-7.69124416670638
"39",-14.2786367071608
"40",-20.4528104222224
"41",-9.55759083464773
"42",3.4282137168627
"43",-2.54230401867395
"44",-13.5999833626797
"45",-0.201448472858334
"46",7.75696675726816
"47",3.65066215155698
"48",-1.75275632036281
"49",-1.21867836885599
"50",20.958893488744
"51",-14.6384523166891
"52",11.712981497551
